name,exp_id,run_id,Accuracy,AbsLoss,SignedLoss,A_Value_Variance,A_Value_Ex,A_Value_Smooth,DDPG_Version,buffer.m,env.U_2,ddpg.tau_decay,env.b,env.mu,env.sigma,general_settings.max_episodes,ddpg.noise_scale,env.dt
More Multiple Env and Tau ,873203898913114948,489fc83a17a642f495036b47a8b415e6,0.975666276,0.016059887,0.016059887,9.64285E-05,0.659984772,0.676044659,DDPG,8,np.log,linear,-5.578158295,0.505979534,0.87558743,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,48a55fdd2542485a9aeace609fecf599,0.986941505,0.011600116,-0.011600116,0.000331267,0.888319512,0.876719396,DDPG,8,np.log,linear,-0.654729734,0.689110133,0.880764329,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,48f7343d283a44209c902886084c30b6,0.99699022,0.001195609,0.001195609,0.000409161,0.397241322,0.398436931,ShockBuffer,8,np.log,none,-0.137953322,0.232906705,0.765709062,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,491aefbfe4bc4a27b8dd718b199ba09c,0.980007389,0.016581299,0.016581299,7.32359E-05,0.829371349,0.845952648,ShockBuffer,8,np.log,linear,-4.786631235,0.791368666,0.976820828,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,49678cccec7d4b0c95d0efdb5d732247,0.990504093,0.002150942,0.002150942,6.9599E-07,0.226512548,0.22866349,DDPG,8,np.log,linear,-9.738169765,0.215807407,0.976083657,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,49af4df48e6943b7b570949e1eee1a1d,0.913200002,0.008717249,-0.008717249,2.18987E-05,0.100429139,0.09171189,ShockBuffer,8,np.log,linear,-1.827104623,0.056738882,0.751641099,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,4a2f0e0e816640678d4fec5248167979,0.732750391,0.207446842,-0.207446842,0.000312871,0.776228794,0.568781953,DDPG,8,np.log,none,-6.88424137,0.375922856,0.695912266,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,4af9ff2205304bce95b2a7be613a8f1e,0.893573801,0.053933316,0.053933316,0.000287913,0.506767288,0.560700604,DDPG,8,np.log,none,-2.535540145,0.298287976,0.767208821,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,4b1e2dd31d9d42e1af65cfe6c5f52402,0.989171501,0.005535825,-0.005535825,0.00088756,0.511227345,0.505691521,ShockBuffer,8,np.log,none,-6.579603138,0.281544794,0.742107316,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,4b54584343084aef9da92fe28f1c8784,0.898957226,0.038350345,-0.038350345,6.901E-06,0.379545642,0.341195298,DDPG,8,np.log,linear,-2.52771834,0.131582525,0.588799055,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,4b8a33a007df41ec9ccbf4cee0ae72b1,0.934090475,0.034417342,-0.034417342,8.66819E-05,0.522190709,0.487773367,DDPG,8,np.log,none,-1.137127052,0.363622484,0.834470128,10000,1,0.2
